,title,genres,original_language,production_companies,budget,revenue,duration,status,release_year,rotten_score,audience_score,imdb_rater_count,imdb_score,watch_score
0,Black Widow,Action-Adventure-Science Fiction,en,Marvel Studios,200000000,379751655,134,Released,2021,79,91,390922.0,6.7,6
1,Cruella,Comedy-Crime,en,Walt Disney Pictures-Marc Platt Productions-Gunn Films,200000000,233503234,134,Released,2021,75,97,241275.0,7.3,7
2,Jungle Cruise,Action-Adventure-Fantasy,en,Walt Disney Pictures-Davis Entertainment-TSG Entertainment-Flynn Picture Company-Zaftig Films-Seven Bucks Productions,200000000,220889446,127,Released,2021,62,92,197047.0,6.6,5
3,Mulan,Adventure-Fantasy-Drama-Action,en,Walt Disney Pictures-China Film Group Corporation-Jason T. Reed Productions-Good Fear,200000000,66800000,115,Released,2020,86,85,151262.0,5.7,5
4,Wonder Woman 1984,Action-Adventure-Fantasy,en,Warner Bros. Pictures-Atlas Entertainment-The Stone Quarry-DC Films,200000000,165160005,151,Released,2020,58,73,275440.0,5.4,2
5,Dark Phoenix,Science Fiction-Action-Adventure,en,20th Century Fox-The Donners' Company-Genre Films-Hutch Parker Entertainment,200000000,252442974,114,Released,2019,22,64,192384.0,5.7,1
6,Maleficent: Mistress of Evil,Family-Fantasy-Adventure-Action,en,Walt Disney Pictures-Roth Films,185000000,491730089,119,Released,2019,39,95,109303.0,6.6,5
7,Toy Story 4,Family-Adventure-Animation-Comedy-Fantasy,en,Walt Disney Pictures-Pixar,175000000,1073394593,100,Released,2019,97,94,258439.0,7.7,9
8,Bumblebee,Action-Adventure-Science Fiction,en,Paramount-Di Bonaventura Pictures-Bay Films-Tom DeSanto/Don Murphy Production-Allspark Pictures,135000000,467989645,113,Released,2018,91,74,171355.0,6.7,6
9,The Nutcracker and the Four Realms,Fantasy-Adventure-Family,en,Walt Disney Pictures-The Mark Gordon Company-Entertainment One,120000000,59522646,99,Released,2018,32,34,35170.0,5.6,0
10,Wonder Park,Comedy-Animation-Adventure-Family-Fantasy,en,Paramount-Nickelodeon Movies-Ilion Animation Studios-Paramount Animation,100000000,119559110,86,Released,2019,34,44,12222.0,5.8,0
11,Tomb Raider,Action-Adventure-Fantasy,en,Metro-Goldwyn-Mayer-Warner Bros. Pictures-GK Films-SQUARE ENIX,94000000,274650803,118,Released,2018,53,55,218313.0,6.3,1
12,Ghostbusters: Afterlife,Fantasy-Comedy-Adventure,en,Columbia Pictures-The Montecito Picture Company-Bron Studios-Ghost Corps,75000000,191000000,124,Released,2021,63,94,189388.0,7.1,6
13,House of Gucci,Drama-Crime-History,en,Metro-Goldwyn-Mayer-Scott Free Productions-Bron Studios,75000000,153235995,158,Released,2021,62,83,143005.0,6.6,5
14,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Action-Crime,en,Warner Bros. Pictures-LuckyChap Entertainment-Clubhouse Pictures-Kroll & Co Entertainment-DC Films,75000000,201858461,109,Released,2020,78,78,246181.0,6.0,5
15,Playmobil: The Movie,Family-Animation-Comedy-Adventure,en,Lionsgate-Canadian Film or Video Production Tax Credit (CPTC)-SODEC-DMG Entertainment-STX Entertainment-ON Animation Studios-Morgen Studios,75000000,0,99,Released,2019,18,62,4321.0,4.9,1
16,Mamma Mia! Here We Go Again,Comedy-Romance,en,Playtone-Littlestar,75000000,395044706,113,Released,2018,79,66,99145.0,6.6,4
17,The Lost City,Action-Adventure-Comedy,en,Paramount-Fortis Films-Exhibit A Film-3dot Productions,74000000,190844029,112,Released,2022,79,83,130683.0,6.1,5
18,Red Sparrow,Mystery-Thriller,en,20th Century Fox-Chernin Entertainment-Film Rites-Soundtrack New York,69000000,151572634,140,Released,2018,45,49,191609.0,6.6,1
19,Prey,Thriller-Action-Science Fiction,en,20th Century Studios,65000000,0,100,Released,2022,93,73,202822.0,7.1,7
20,Clifford the Big Red Dog,Family-Adventure-Comedy-Fantasy,en,Paramount-Kerner Entertainment Company-Entertainment One-Walden Media-Scholastic Entertainment-New Republic Pictures,64000000,67000000,97,Released,2021,58,94,14511.0,5.9,4
21,Three Thousand Years of Longing,Fantasy-Drama-Romance,en,Metro-Goldwyn-Mayer-Kennedy Miller Productions-FilmNation Entertainment-CAA Media Finance-Elevate Production Finance-Sunac Pictures,60000000,19145392,108,Released,2022,71,73,41404.0,6.7,5
22,The Kid Who Would Be King,Action-Adventure-Fantasy-Family,en,20th Century Fox-Big Talk Productions-Working Title Films-TSG Entertainment,59000000,32140970,120,Released,2019,90,55,17583.0,6.1,5
23,Fifty Shades Freed,Drama-Romance,en,Universal Pictures-Perfect World Pictures,55000000,368307760,105,Released,2018,11,37,68296.0,4.5,0
24,The Rhythm Section,Action-Thriller,en,Ingenious Media-IM Global-Eon Productions-Babieka Films-Global Road Entertainment-Whitebeard Films,50000000,0,109,Released,2020,28,44,18992.0,5.4,0
25,Dora and the Lost City of Gold,Adventure-Comedy-Family-Fantasy,en,Paramount-Nickelodeon Movies-Walden Media-Screen Queensland-Paramount Players,49000000,119682635,102,Released,2019,85,88,32007.0,6.1,6
26,Doctor Sleep,Horror-Thriller-Fantasy,en,Vertigo Entertainment-Intrepid Pictures,45000000,72281712,152,Released,2019,78,89,199454.0,7.3,6
27,UglyDolls,Family-Animation-Music,en,Reel FX Creative Studios-STX Entertainment-Alibaba Pictures Group-Original Force Animation-Huaxia Film Distribution,45000000,32450241,87,Released,2019,29,54,7165.0,5.1,0
28,Last Night in Soho,Horror-Mystery-Thriller,en,Universal Pictures-Film4 Productions-Working Title Films-Complete Fiction,43000000,22957625,117,Released,2021,76,90,146554.0,7.0,7
29,Long Shot,Comedy-Romance,en,Lionsgate-Denver and Delilah Productions-Point Grey Pictures-Good Universe-AG Studios,40000000,0,125,Released,2019,89,83,114204.0,6.8,6
30,A Star Is Born,Music-Drama-Romance,en,Malpaso Productions-Warner Bros. Pictures-Gerber Pictures-Thunder Road-Live Nation Productions-22 & Green-Joint Effort,36000000,433888866,136,Released,2018,90,80,394006.0,7.6,8
31,The Darkest Minds,Action-Adventure-Drama,en,20th Century Fox-21 Laps Entertainment,34000000,41142379,105,Released,2018,15,72,33606.0,5.7,2
32,Unhinged,Action-Thriller,en,Ingenious Media-Altitude Film Entertainment-Solstice Productions-Burek Films,33000000,39238300,90,Released,2020,48,77,71037.0,6.0,3
33,Spirit Untamed,Animation-Adventure-Family-Western,en,Universal Pictures-DreamWorks Animation,30000000,17635215,88,Released,2021,48,95,4032.0,5.5,4
34,Gunpowder Milkshake,Action-Crime-Thriller,en,Canal+-Studio Babelsberg-Ciné+-STX Entertainment-The Picture Company-StudioCanal,30000000,1015760,114,Released,2021,60,48,46957.0,6.0,2
35,Love and Monsters,Comedy-Action-Adventure-Fantasy,en,21 Laps Entertainment,30000000,1070714,109,Released,2020,94,89,132762.0,6.9,7
36,Annabelle Comes Home,Horror-Mystery-Thriller,en,New Line Cinema-The Safran Company-Atomic Monster,30000000,231252591,106,Released,2019,64,70,78939.0,5.9,3
37,Crazy Rich Asians,Comedy-Drama-Romance,en,Warner Bros. Pictures-Color Force-Ivanhoe Pictures,30000000,238539198,121,Released,2018,91,76,178221.0,6.9,6
38,Like a Boss,Comedy,en,Paramount-Artists First,29000000,26925979,83,Released,2020,22,65,14655.0,4.7,1
39,All My Life,Romance-Drama,en,Broken Road Productions-Perfect World Pictures,25000000,2000000,93,Released,2020,57,61,5218.0,6.3,2
40,Scary Stories to Tell in the Dark,Horror-Thriller,en,Starlight International Media-CBS Films-Entertainment One-1212 Entertainment-Double Dare You Productions-Rolling Hills-Hivemind,25000000,104545505,108,Released,2019,77,72,79291.0,6.2,5
41,Mary Queen of Scots,Drama-History,en,Focus Features-Working Title Films-Perfect World Pictures,25000000,37807625,124,Released,2018,62,41,52329.0,6.3,2
42,Tall Girl 2,Comedy-Romance,en,Wonderland Sound and Vision,24393503,0,97,Released,2022,63,29,5284.0,4.7,1
43,The Hate U Give,Crime-Drama,en,Temple Hill Entertainment,23000000,34934009,133,Released,2018,97,82,37703.0,7.5,8
44,Where Is Anne Frank,Animation-Drama-Family-History,en,Samsa Film-Wild Bunch-Prima Linéa Productions-Entre Chien et Loup-Le Pacte-Walking The Dog-Bridgit Folman Film Gang-Submarine,22000000,0,99,Released,2021,80,55,1328.0,6.4,4
45,The Secret: Dare to Dream,Drama-Romance,en,Roadside Attractions-Covert Media-Robert Cort Productions-Savvy Media Holdings-Illumination Productions-Shine Box Media Group-Tri G,21000000,3215636,107,Released,2020,28,73,15236.0,6.5,3
46,Enola Holmes,Adventure-Mystery-Comedy-Crime,en,Legendary Pictures-PCMA Productions,21000000,0,123,Released,2020,91,71,201138.0,6.6,6
47,Lullaby,Horror,en,Alcon Entertainment-Envision Media Arts-Wonderfilm Media-Heroes and Villains Entertainment,20000000,0,89,Released,2022,100,74,1224.0,4.7,5
48,Dream Horse,Comedy-Drama,en,Ingenious Media-Film4 Productions-Stage 6 Films-Ffilm Cymru Wales-RAW-Topic Studios-Cornerstone Films-Bleecker Street,20000000,6435260,113,Released,2021,88,97,5970.0,6.9,7
49,Cyrano,Drama-Romance,en,Metro-Goldwyn-Mayer-Working Title Films-Bron Studios-Creative Wealth Media Finance,20000000,3000000,124,Released,2021,85,86,12793.0,6.4,6
50,Ascendant,Mystery-Science Fiction-Thriller,en,Daydream Films,20000000,318989,101,Released,2021,45,25,804.0,3.5,0
51,What Men Want,Comedy-Romance,en,Will Packer Productions-Paramount Players-BET Films,20000000,69766483,117,Released,2019,42,34,28723.0,5.3,0
52,Little,Comedy-Fantasy-Romance,en,Universal Pictures-Legendary Pictures-Will Packer Productions-Khalabo Ink Society,20000000,17399000,108,Released,2019,46,59,215174.0,7.8,2
53,"Where'd You Go, Bernadette",Comedy-Drama,en,Color Force-Annapurna Pictures,20000000,0,109,Released,2019,51,74,23094.0,6.5,3
54,On the Basis of Sex,Drama-History,en,DreamWorks Pictures-Participant-Focus Features-Robert Cort Productions,20000000,38673750,120,Released,2018,72,76,35817.0,7.1,5
55,Anon,Science Fiction,en,K5 International-K5 Film-Sierra/Affinity-Scythia Films-Road Pictures,20000000,0,100,Released,2018,36,34,46097.0,6.1,1
56,A Simple Favor,Crime-Thriller-Mystery-Comedy,en,Bron Studios-Feigco Entertainment,20000000,97644617,117,Released,2018,84,73,153232.0,6.8,5
57,Acrimony,Thriller,en,Tyler Perry Studios,20000000,34764055,120,Released,2018,18,57,9378.0,5.8,0
58,Nobody's Fool,Comedy-Romance,en,Tyler Perry Studios-Paramount Players-BET Films,19000000,29152618,110,Released,2018,25,36,21481.0,7.3,2
59,Spencer,Drama,en,Komplizen Film-FilmNation Entertainment-Fabula-Shoebox Films-Fabula,18000000,14000000,117,Released,2021,83,52,71215.0,6.6,4
60,A Dog's Way Home,Drama-Adventure-Family,en,Columbia Pictures-Pariah-Bona Film Group,18000000,17643857,96,Released,2019,59,71,18856.0,6.7,3
