,title,genres,original_language,production_companies,budget,revenue,duration,status,release_year,rotten_score,audience_score,imdb_rater_count,imdb_score
200,Sissy,Horror-Comedy-Thriller,en,DEMS Entertainment-Dog Park Pictures-Arcadia,0,0,102,Released,2022,96,63,5061,6.1
201,The Last Manhunt,Western,en,On the Roam,0,0,103,Released,2022,18,55,702,4.2
202,Unplugging,Comedy,en,Traveling Picture Show Company (TPSC),0,0,94,Released,2022,14,29,760,4.4
203,Persona,Thriller-Romance,en,FILOMINATI,0,0,75,Released,2022,91,94,36,7.7
204,True Things,Drama,en,BBC Films-The Bureau-BFI Film Fund-Riff Raff Films,0,0,102,Released,2022,81,50,1185,5.9
205,Choose or Die,Horror-Thriller-Science Fiction,en,Stigma Films-Anton,0,0,85,Released,2022,30,27,22888,4.8
206,Best Laid Plans,Thriller,en,Random Media-Outside Our Means,0,0,83,Released,2022,43,39,36,8.4
207,Manny,Science Fiction,en,Marana Productions-Sonal Sehgal Films,0,0,71,Released,2022,25,65,,
208,Adopting Audrey,Drama,en,Blackbird Films,0,0,92,Released,2022,79,85,302,5.5
209,You Resemble Me,Drama,en,CNC-RYOT Films-The Othrs-Level Forward-Vice Studios-Willa Productions-Foothill Productions-D'Artagnan-Hameda’s Stories-Quiet,0,0,90,Released,2022,94,92,260,7.3
210,The Year Between,Drama,en,Chicago Media Angels-Level Forward-Full Spectrum Features,0,0,94,Released,2022,77,79,96,7.8
211,The Sound of Violet,Comedy-Drama-Romance,en,Morning Star Pictures,0,0,107,Released,2022,14,83,74,8.4
212,Entropy,Horror,en,HaleHouse Productions,0,0,80,Released,2022,40,75,216,2.4
213,Alone with You,Horror-Thriller,en,Untapped,0,0,83,Released,2022,74,55,8237,6.3
214,The Art of Love,Comedy,en,Philippe Weibel,0,0,106,Released,2022,0,60,298,5.9
215,Slam,Drama,en,Sandbox-Dolce Vita Films-Invisible Republic-The Koop-Studio KGB-Adhésive Production,0,0,116,Released,2021,61,84,157,6
216,Me You Madness,Comedy,en,STX Entertainment-Highland Film Group-Stormchaser Films,0,0,97,Released,2021,21,82,1318,3.8
217,Glasshouse,Thriller-Science Fiction,en,Showmax-Local Motion Pictures-Crave Pictures,0,0,94,Released,2021,84,38,654,5.5
218,Language Lessons,Drama-Comedy-Romance,en,Duplass Brothers Productions,0,0,91,Released,2021,96,82,2480,7.1
219,Stop and Go,Comedy,en,Sorø Films-BuzzFeed Studios-Decal,0,0,80,Released,2021,76,72,502,6.2
220,Like a House on Fire,Drama,en,Colonelle Films-Woods Entertainment,0,0,85,Released,2021,100,57,5236,5.5
221,Snakehead,Action-Drama-Crime,en,Roadside Attractions-Samuel Goldwyn Films-408 Films-Arowana Studios,0,0,89,Released,2021,71,58,795,5.2
222,Sweetheart,Comedy-Drama-Romance,en,BBC Film-BFI-Microwave Films-Hazey Jane Films-SUMS Film and Media,0,0,103,Released,2021,93,50,750,6.5
223,Holler,Drama,en,Level Forward-Hunting Lane Films-Feigco Entertainment-IFC Films,0,0,91,Released,2021,92,75,,
224,Antlers,Drama-Horror-Mystery,en,Phantom Four-TSG Entertainment-Double Dare You Productions-Searchlight Pictures-Mirada Studio,0,18312201,99,Released,2021,60,67,40549,5.9
225,The Night House,Drama-Horror-Mystery-Thriller,en,Phantom Four-TSG Entertainment-Searchlight Pictures-Anton,0,14590542,107,Released,2021,88,69,58072,6.5
226,A Journal for Jordan,Drama-Romance,en,Columbia Pictures-Escape Artists-Mundy Lane Entertainment-Bron Studios-Creative Wealth Media Finance-Outlier Society Productions,0,6200000,131,Released,2021,39,95,2323,5.9
227,Finding You,Romance-Drama,en,Roadside Attractions-Red Sky Studios-Nook Lane Entertainment,0,3300000,119,Released,2021,53,91,5952,6.4
228,Four Good Days,Drama,en,Productivity Media-Vertical Entertainment-Indigenous Media-Oakhurst Entertainment,0,843965,100,Released,2021,55,81,9260,6.5
229,A Mouthful of Air,Drama,en,Sony Pictures-Stage 6 Films-Templeheart Films-Maven Screen Media-Studio MAO-Farcaster Films-Winsome Entertainment-Carte Blanche,0,212833,105,Released,2021,68,81,1964,6
230,Tango Shalom,Comedy-Family,en,Convivivencia Forever Films,0,101449,115,Released,2021,71,90,398,5.8
231,Out of Death,Action-Thriller,en,EFO Films-Dutch Filmworks-Verdi Productions-SSS Entertainment-River Bay Films-Vertical Entertainment-Youplanet Pictures-BondIt Media Capital-Buffalo 8 Productions-Falcon Films,0,95813,95,Released,2021,0,43,5267,3.3
232,Hellbender,Horror,en,Yellow Veil Pictures-Wonder Wheel Productions,0,67474,83,Released,2021,97,53,5394,5.8
233,The Lost Daughter,Drama,en,Faliro House Productions-Pie Films-Endeavor Content-Media Finance Capital-Samuel Marshall Productions,0,14521,122,Released,2021,94,52,68390,6.7
234,Rushed,Mystery-Thriller-Horror-Drama,en,Vertical Entertainment,0,0,101,Released,2021,90,89,2705,5.6
235,Val,Horror-Comedy,en,Epic Pictures Group-Social House Films-Dread,0,0,81,Released,2021,94,89,13319,7.6
236,My True Fairytale,Drama-Mystery-Thriller,en,Purplelight Pictures,0,0,86,Released,2021,60,99,4367,5.8
237,Rare Beasts,Romance-Comedy-Drama,en,Western Edge Pictures-42-Fields Park-Great Point Media-Warrior Global Media,0,0,87,Released,2021,69,42,1259,5.4
238,Let Us In,Science Fiction-Thriller,en,Samuel Goldwyn Films-Pelican Films,0,0,84,Released,2021,20,20,,
239,Slumber Party Massacre,Horror-Comedy,en,Syfy-Shout! Studios-Blue Ice Africa,0,0,86,Released,2021,45,46,2518,5.1
240,June Again,Drama-Comedy,en,Head Gear Films-Spectrum Films-See Pictures,0,0,99,Released,2021,100,90,,
241,Stay,Horror,en,Ashley Park Productions-Ghost Machine Pictures,0,0,83,Released,2021,26,70,1270,3.7
242,Sophie Jones,Drama,en,The Sounding Board,0,0,86,Released,2021,100,71,384,5.3
243,Time Now,Thriller,en,Disarming Films,0,0,90,Released,2021,71,40,263,3.7
244,Bigfoot Famous,Comedy-Adventure,en,Gravitas Ventures,0,0,89,Released,2021,67,60,404,5.9
245,Haymaker,Drama-Romance,en,Hood River Entertainment,0,0,83,Released,2021,38,44,303,4
246,Test Pattern,Drama,en,It Was Written Productions-120E Films,0,0,83,Released,2021,96,51,814,6.4
247,Golden Arm,Comedy,en,The Ranch Productions-Utopia,0,0,90,Released,2021,100,82,,
248,Tyger Tyger,Drama,en,Uninflected Pictures,0,0,92,Released,2021,10,96,62079,7.1
249,Monuments,Comedy-Drama,en,Black Apple Media-ZAXIE,0,0,94,Released,2021,80,98,37,8
250,Echoes of Violence,Crime-Thriller,en,Phoenix Down Films,0,0,106,Released,2021,100,78,441,5.2
251,H Is for Happiness,Family,en,Screen Australia-ScreenWest-Film Victoria-Cyan Films-MIFF Premiere Fund,0,0,96,Released,2021,79,86,580,6.6
252,Love is Love is Love,Comedy-Romance-Drama,en,American Zoetrope,0,0,91,Released,2021,18,20,773,6.2
253,I Care a Lot,Comedy-Crime-Thriller-Drama,en,Black Bear Pictures-STX Entertainment-Crimple Beck,0,0,119,Released,2021,78,34,136537,6.3
254,Single Mother by Choice,Comedy-Drama,en,Two Hands Productions,0,0,82,Released,2021,85,98,173,3.3
